,filename,hostname,vrf_name,description,address_family,import_type,import_id,export_type,export_id
1885,10.124.210.25,RAC_SD18M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1886,10.122.22.78,RAC_PPSKM21C,definition Mgmt-intf,,ipv6,,,,
1887,10.122.22.78,RAC_PPSKM21C,definition lte,,ipv4,,,,
1888,10.122.44.155,RAC_RS07M21C,definition Mgmt-intf,,ipv6,,,,
1889,10.122.44.155,RAC_RS07M21C,definition lte,,ipv4,,,,
1890,10.122.68.84,RAC_D369M21C,definition Mgmt-intf,,ipv6,,,,
1891,10.122.68.84,RAC_D369M21C,definition lte,,ipv4,,,,
1892,10.122.42.250,RAC_P16BM21C,definition Mgmt-intf,,ipv6,,,,
1893,10.122.42.250,RAC_P16BM21C,definition lte,,ipv4,,,,
1894,10.122.10.84,RAC_PY23M21C,definition Mgmt-intf,,ipv6,,,,
1895,10.122.10.84,RAC_PY23M21C,definition lte,,ipv4,,,,
1896,10.122.8.102,RAC_CLMTP21C,definition Mgmt-intf,,ipv6,,,,
1897,10.122.41.37,RAC_KBKSM21C,definition Mgmt-intf,,ipv6,,,,
1898,10.122.41.37,RAC_KBKSM21C,definition lte,,ipv4,,,,
1899,10.122.24.37,RAC_BJARM21C,definition Mgmt-intf,,ipv6,,,,
1900,10.122.24.37,RAC_BJARM21C,definition lte,,ipv4,,,,
1901,10.122.46.122,RAC_SUNKM21C,definition Mgmt-intf,,ipv6,,,,
1902,10.122.46.122,RAC_SUNKM21C,definition lte,,ipv4,,,,
1903,10.122.27.245,RAC_LS07M21C,definition Mgmt-intf,,ipv6,,,,
1904,10.122.27.245,RAC_LS07M21C,definition lte,,ipv4,,,,
1905,10.122.44.60,RAC_MBPLM21C,definition Mgmt-intf,,ipv6,,,,
1906,10.122.44.60,RAC_MBPLM21C,definition lte,,ipv4,,,,
1907,10.122.14.182,RAC_ERIHM21C,definition Mgmt-intf,,ipv6,,,,
1908,10.122.14.182,RAC_ERIHM21C,definition lte,,ipv4,,,,
1909,10.122.9.105,RAC_ZSRSM21C,definition Mgmt-intf,,ipv6,,,,
1910,10.122.9.105,RAC_ZSRSM21C,definition lte,,ipv4,,,,
1911,10.122.70.68,RAC_RBSLP21C,definition Mgmt-intf,,ipv6,,,,
1912,10.122.47.53,RAC_SW28M21C,definition Mgmt-intf,,ipv6,,,,
1913,10.122.21.7,RAC_MSBGM21C,definition Mgmt-intf,,ipv6,,,,
1914,10.122.21.7,RAC_MSBGM21C,definition lte,,ipv4,,,,
1915,10.122.41.198,RAC_DS62M21C,definition Mgmt-intf,,ipv6,,,,
1916,10.122.41.198,RAC_DS62M21C,definition lte,,ipv4,,,,
1917,10.122.25.158,RAC_BN21M21C,definition Mgmt-intf,,ipv6,,,,
1918,10.122.25.158,RAC_BN21M21C,definition lte,,ipv4,,,,
1919,10.122.20.138,RAC_PLP1M21C,definition Mgmt-intf,,ipv6,,,,
1920,10.122.20.138,RAC_PLP1M21C,definition lte,,ipv4,,,,
1921,10.122.70.132,RAC_EW15M21C,definition Mgmt-intf,,ipv6,,,,
1922,10.122.70.132,RAC_EW15M21C,definition lte,,ipv4,,,,
1923,10.122.18.53,RAC_SRMKM21C,definition Mgmt-intf,,ipv6,,,,
1924,10.122.18.53,RAC_SRMKM21C,definition lte,,ipv4,,,,
1925,10.122.24.72,RAC_LK82M21C,definition Mgmt-intf,,ipv6,,,,
1926,10.122.24.72,RAC_LK82M21C,definition lte,,ipv4,,,,
1927,10.122.34.53,RAC_NWWSX21C,definition Mgmt-intf,,ipv6,,,,
1928,10.122.65.245,RAC_WBKAM21C,definition Mgmt-intf,,ipv6,,,,
1929,10.122.20.77,RAC_BEHIP21C,definition Mgmt-intf,,ipv6,,,,
1930,10.122.10.101,RAC_BAYPP21C,definition Mgmt-intf,,ipv6,,,,
1931,10.122.19.56,RAC_INPTM21C,definition Mgmt-intf,,ipv6,,,,
1932,10.122.19.56,RAC_INPTM21C,definition lte,,ipv4,,,,
1933,10.122.28.220,RAC_T402M21C,definition Mgmt-intf,,ipv6,,,,
1934,10.122.28.220,RAC_T402M21C,definition lte,,ipv4,,,,
1935,10.122.42.213,RAC_SDKSM21C,definition Mgmt-intf,,ipv6,,,,
1936,10.122.42.213,RAC_SDKSM21C,definition lte,,ipv4,,,,
1937,10.122.34.54,RAC_RDPSX21C,definition Mgmt-intf,,ipv6,,,,
1938,10.122.16.102,RAC_PST1M21C,definition Mgmt-intf,,ipv6,,,,
1939,10.122.16.102,RAC_PST1M21C,definition lte,,ipv4,,,,
1940,10.122.19.71,RAC_MPPCM21C,definition Mgmt-intf,,ipv6,,,,
1941,10.122.19.71,RAC_MPPCM21C,definition lte,,ipv4,,,,
1942,10.122.30.205,RAC_CR23P21C,definition Mgmt-intf,,ipv6,,,,
1943,10.122.30.205,RAC_CR23P21C,definition lte,,ipv4,,,,
1944,10.122.23.27,RAC_MONTP21C,definition Mgmt-intf,,ipv6,,,,
1945,10.122.23.27,RAC_MONTP21C,definition lte,,ipv4,,,,
1946,10.122.24.204,RAC_GATEP21C,definition Mgmt-intf,,ipv6,,,,
1947,10.122.26.199,RAC_BPNSM21C,definition Mgmt-intf,,ipv6,,,,
1948,10.122.26.199,RAC_BPNSM21C,definition lte,,ipv4,,,,
1949,10.122.42.245,RAC_KT22M21C,definition Mgmt-intf,,ipv6,,,,
1950,10.122.42.245,RAC_KT22M21C,definition lte,,ipv4,,,,
1951,10.122.18.214,RAC_SBPPM21C,definition Mgmt-intf,,ipv6,,,,
1952,10.122.18.214,RAC_SBPPM21C,definition lte,,ipv4,,,,
1953,10.122.19.108,RAC_MKC1P21C,definition Mgmt-intf,,ipv6,,,,
1954,10.122.18.84,RAC_GPFWP21C,definition Mgmt-intf,,ipv6,,,,
1955,10.122.24.203,RAC_DCWHP21C,definition Mgmt-intf,,ipv6,,,,
1956,10.124.209.103,RAC_STS2M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1957,10.124.209.103,RAC_STS2M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1958,10.122.33.215,RAC_RK06M21C,definition Mgmt-intf,,ipv6,,,,
1959,10.122.33.215,RAC_RK06M21C,definition lte,,ipv4,,,,
1960,10.122.67.52,RAC_KLHRM21C,definition Mgmt-intf,,ipv6,,,,
1961,10.122.43.238,RAC_SCKCM21C,definition Mgmt-intf,,ipv6,,,,
1962,10.122.43.238,RAC_SCKCM21C,definition lte,,ipv4,,,,
1963,10.122.10.104,RAC_I21LP21C,definition Mgmt-intf,,ipv6,,,,
1964,10.122.28.109,RAC_NIPNM21C,definition Mgmt-intf,,ipv6,,,,
1965,10.122.28.109,RAC_NIPNM21C,definition lte,,ipv4,,,,
1966,10.124.211.78,RAC_TMTPP51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1967,10.124.211.78,RAC_TMTPP51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1968,10.122.18.236,RAC_TPISP21C,definition Mgmt-intf,,ipv6,,,,
1969,10.122.44.228,RAC_KLWSM21C,definition Mgmt-intf,,ipv6,,,,
1970,10.122.44.228,RAC_KLWSM21C,definition lte,,ipv4,,,,
1971,10.122.35.70,RAC_RTTSM21C,definition Mgmt-intf,,ipv6,,,,
1972,10.122.35.70,RAC_RTTSM21C,definition lte,,ipv4,,,,
1973,10.122.68.133,RAC_SPNYM21C,definition Mgmt-intf,,ipv6,,,,
1974,10.122.68.133,RAC_SPNYM21C,definition lte,,ipv4,,,,
1975,10.124.211.10,RAC_CSS6M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1976,10.124.211.10,RAC_CSS6M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1977,10.124.210.183,RAC_SKTPM51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1978,10.124.210.183,RAC_SKTPM51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1979,10.122.31.231,RAC_42TWP21C,definition Mgmt-intf,,ipv6,,,,
1980,10.122.22.156,RAC_TSV5M21C,definition Mgmt-intf,,ipv6,,,,
1981,10.122.22.156,RAC_TSV5M21C,definition lte,,ipv4,,,,
1982,10.122.18.153,RAC_SKTEP21C,definition Mgmt-intf,,ipv6,,,,
1983,10.122.18.153,RAC_SKTEP21C,definition lte,,ipv4,,,,
1984,10.122.33.7,RAC_TR21B21C,definition Mgmt-intf,,ipv6,,,,
1985,10.122.46.228,RAC_KNCKM21C,definition Mgmt-intf,,ipv6,,,,
1986,10.122.46.228,RAC_KNCKM21C,definition lte,,ipv4,,,,
1987,10.122.67.54,RAC_MSVKM21C,definition Mgmt-intf,,ipv6,,,,
1988,10.122.67.54,RAC_MSVKM21C,definition lte,,ipv4,,,,
1989,10.122.46.101,RAC_L771B21C,definition Mgmt-intf,,ipv6,,,,
1990,10.122.46.68,RAC_TSAPM21C,definition Mgmt-intf,,ipv6,,,,
1991,10.122.46.68,RAC_TSAPM21C,definition lte,,ipv4,,,,
1992,10.122.29.137,RAC_MBSMM21C,definition Mgmt-intf,,ipv6,,,,
1993,10.122.29.137,RAC_MBSMM21C,definition lte,,ipv4,,,,
1994,10.122.35.54,RAC_MTLSA21C,definition Mgmt-intf,,ipv6,,,,
1995,10.122.16.100,RAC_CS65M21C,definition Mgmt-intf,,ipv6,,,,
1996,10.122.16.100,RAC_CS65M21C,definition lte,,ipv4,,,,
1997,10.122.45.9,RAC_CTMHP21C,definition Mgmt-intf,,ipv6,,,,
1998,10.122.47.101,RAC_TMSTM21C,definition Mgmt-intf,,ipv6,,,,
1999,10.122.47.101,RAC_TMSTM21C,definition lte,,ipv4,,,,
2000,10.122.9.158,RAC_TMBPP22C,definition Mgmt-intf,,ipv6,,,,
2001,10.122.9.158,RAC_TMBPP22C,definition lte,,ipv4,,,,
2002,10.122.45.199,RAC_BMA2M21C,definition Mgmt-intf,,ipv6,,,,
2003,10.122.45.199,RAC_BMA2M21C,definition lte,,ipv4,,,,
2004,10.122.64.4,RAC_LKRPM21C,definition Mgmt-intf,,ipv6,,,,
2005,10.124.213.110,RAC_TCI2M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
2006,10.124.213.110,RAC_TCI2M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
2007,10.122.42.104,RAC_BKS3M21C,definition Mgmt-intf,,ipv6,,,,
2008,10.124.209.240,RAC_BTU1M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
2009,10.124.209.240,RAC_BTU1M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
